City,Region,Country
Mid North Coast,New South Wales,Portugal
Mornington Peninsula,Victoria,Portugal
Northern Rivers,New South Wales,Portugal
Sydney,New South Wales,Portugal
Tasmania,,Portugal
Western Australia,,Portugal
Beijing,,Portugal
Hong Kong,,Portugal
Shanghai,,Portugal
Tokyo,KantÅ,Portugal
Singapore,,Portugal
Taipei,Northern Taiwan,Portugal
Bangkok,Central Thailand,Portugal
Buenos Aires,Ciudad AutÃ³noma de,Portugal
Belize,,Portugal
Rio de Janeiro,,Portugal
Santiago,RegiÃ³n Metropolitana de,Portugal
Mexico City,Distrito Federal,Portugal
Barcelona,Catalonia,Spain
Euskadi,,Spain
Girona,Catalonia,Spain
Madrid,Comunidad de,Spain
Malaga,AndalucÃ­a,Spain
Mallorca,Islas Baleares,Spain
Menorca,Islas Baleares,Spain
Sevilla,AndalucÃ­a,Spain
Valencia,,Spain
Stockholm,,Spain
Geneva,,Spain
Vaud,,Spain
Zurich,ZÃ¼rich,Spain
Amsterdam,North Holland,Spain
Rotterdam,South Holland,Spain
The Hague,South Holland,Spain
Istanbul,Marmara,Spain
Bristol,England,Spain
Edinburgh,Scotland,Spain
Greater Manchester,England,Spain
London,England,Spain
Cape Town,Western Cape,Spain
Barossa Valley,South Australia,Spain
"Barwon South West, Vic",Victoria,Spain
Melbourne,Victoria,Spain
Mid North Coast,New South Wales,Spain
Mornington Peninsula,Victoria,Spain
Northern Rivers,New South Wales,Spain
Sydney,New South Wales,Spain
Tasmania,,Spain
Western Australia,,Spain
Beijing,,Spain
Hong Kong,,Spain
Shanghai,,Spain
Tokyo,KantÅ,Spain
Singapore,,Spain
Taipei,Northern Taiwan,Spain
Bangkok,Central Thailand,Spain
Buenos Aires,Ciudad AutÃ³noma de,Spain
Belize,,Spain
Rio de Janeiro,,Spain
Santiago,RegiÃ³n Metropolitana de,Spain
Mexico City,Distrito Federal,Spain
Stockholm,,Sweden
Geneva,,Sweden
Vaud,,Sweden
Zurich,ZÃ¼rich,Sweden
Amsterdam,North Holland,Sweden
Rotterdam,South Holland,Sweden
The Hague,South Holland,Sweden
Istanbul,Marmara,Sweden
Bristol,England,Sweden
Edinburgh,Scotland,Sweden
Greater Manchester,England,Sweden
London,England,Sweden
Cape Town,Western Cape,Sweden
Barossa Valley,South Australia,Sweden
"Barwon South West, Vic",Victoria,Sweden
Melbourne,Victoria,Sweden
Mid North Coast,New South Wales,Sweden
Mornington Peninsula,Victoria,Sweden
Northern Rivers,New South Wales,Sweden
Sydney,New South Wales,Sweden
Tasmania,,Sweden
Western Australia,,Sweden
Beijing,,Sweden
Hong Kong,,Sweden
Shanghai,,Sweden
Tokyo,KantÅ,Sweden
Singapore,,Sweden
Taipei,Northern Taiwan,Sweden
Bangkok,Central Thailand,Sweden
Buenos Aires,Ciudad AutÃ³noma de,Sweden
Belize,,Sweden
Rio de Janeiro,,Sweden
Santiago,RegiÃ³n Metropolitana de,Sweden
Mexico City,Distrito Federal,Sweden
Geneva,,Switzerland
Vaud,,Switzerland
Zurich,ZÃ¼rich,Switzerland
Amsterdam,North Holland,Switzerland
Rotterdam,South Holland,Switzerland
The Hague,South Holland,Switzerland
Istanbul,Marmara,Switzerland
Bristol,England,Switzerland
Edinburgh,Scotland,Switzerland
Greater Manchester,England,Switzerland
London,England,Switzerland
Cape Town,Western Cape,Switzerland
Barossa Valley,South Australia,Switzerland
"Barwon South West, Vic",Victoria,Switzerland
Melbourne,Victoria,Switzerland
Mid North Coast,New South Wales,Switzerland
Mornington Peninsula,Victoria,Switzerland
Northern Rivers,New South Wales,Switzerland
Sydney,New South Wales,Switzerland
Tasmania,,Switzerland
Western Australia,,Switzerland
Beijing,,Switzerland
Hong Kong,,Switzerland
Shanghai,,Switzerland
Tokyo,KantÅ,Switzerland
Singapore,,Switzerland
Taipei,Northern Taiwan,Switzerland
Bangkok,Central Thailand,Switzerland
Buenos Aires,Ciudad AutÃ³noma de,Switzerland
Belize,,Switzerland
Rio de Janeiro,,Switzerland
Santiago,RegiÃ³n Metropolitana de,Switzerland
Mexico City,Distrito Federal,Switzerland
Amsterdam,North Holland,The Netherlands
Rotterdam,South Holland,The Netherlands
The Hague,South Holland,The Netherlands
Istanbul,Marmara,The Netherlands
Bristol,England,The Netherlands
Edinburgh,Scotland,The Netherlands
Greater Manchester,England,The Netherlands
London,England,The Netherlands
Cape Town,Western Cape,The Netherlands
Barossa Valley,South Australia,The Netherlands
"Barwon South West, Vic",Victoria,The Netherlands
Melbourne,Victoria,The Netherlands
Mid North Coast,New South Wales,The Netherlands
Mornington Peninsula,Victoria,The Netherlands
Northern Rivers,New South Wales,The Netherlands
Sydney,New South Wales,The Netherlands
Tasmania,,The Netherlands
Western Australia,,The Netherlands
Beijing,,The Netherlands
Hong Kong,,The Netherlands
Shanghai,,The Netherlands
Tokyo,KantÅ,The Netherlands
Singapore,,The Netherlands
Taipei,Northern Taiwan,The Netherlands
Bangkok,Central Thailand,The Netherlands
Buenos Aires,Ciudad AutÃ³noma de,The Netherlands
Belize,,The Netherlands
Rio de Janeiro,,The Netherlands
Santiago,RegiÃ³n Metropolitana de,The Netherlands
Mexico City,Distrito Federal,The Netherlands
Istanbul,Marmara,Turkey
Bristol,England,Turkey
Edinburgh,Scotland,Turkey
Greater Manchester,England,Turkey
London,England,Turkey
Cape Town,Western Cape,Turkey
Barossa Valley,South Australia,Turkey
"Barwon South West, Vic",Victoria,Turkey
Melbourne,Victoria,Turkey
Mid North Coast,New South Wales,Turkey
Mornington Peninsula,Victoria,Turkey
Northern Rivers,New South Wales,Turkey
Sydney,New South Wales,Turkey
Tasmania,,Turkey
Western Australia,,Turkey
Beijing,,Turkey
Hong Kong,,Turkey
Shanghai,,Turkey
Tokyo,KantÅ,Turkey
Singapore,,Turkey
Taipei,Northern Taiwan,Turkey
Bangkok,Central Thailand,Turkey
Buenos Aires,Ciudad AutÃ³noma de,Turkey
Belize,,Turkey
Rio de Janeiro,,Turkey
Santiago,RegiÃ³n Metropolitana de,Turkey
Mexico City,Distrito Federal,Turkey
Bristol,England,United Kingdom
Edinburgh,Scotland,United Kingdom
Greater Manchester,England,United Kingdom
London,England,United Kingdom
Cape Town,Western Cape,United Kingdom
Barossa Valley,South Australia,United Kingdom
"Barwon South West, Vic",Victoria,United Kingdom
Melbourne,Victoria,United Kingdom
Mid North Coast,New South Wales,United Kingdom
Mornington Peninsula,Victoria,United Kingdom
Northern Rivers,New South Wales,United Kingdom
Sydney,New South Wales,United Kingdom
Tasmania,,United Kingdom
Western Australia,,United Kingdom
Beijing,,United Kingdom
Hong Kong,,United Kingdom
Shanghai,,United Kingdom
Tokyo,KantÅ,United Kingdom
Singapore,,United Kingdom
Taipei,Northern Taiwan,United Kingdom
Bangkok,Central Thailand,United Kingdom
Buenos Aires,Ciudad AutÃ³noma de,United Kingdom
Belize,,United Kingdom
Rio de Janeiro,,United Kingdom
Santiago,RegiÃ³n Metropolitana de,United Kingdom
Mexico City,Distrito Federal,United Kingdom
Cape Town,Western Cape,South Africa
Barossa Valley,South Australia,South Africa
"Barwon South West, Vic",Victoria,South Africa
Melbourne,Victoria,South Africa
Mid North Coast,New South Wales,South Africa
Mornington Peninsula,Victoria,South Africa
Northern Rivers,New South Wales,South Africa
Sydney,New South Wales,South Africa
Tasmania,,South Africa
Western Australia,,South Africa
Beijing,,South Africa
Hong Kong,,South Africa
Shanghai,,South Africa
Tokyo,KantÅ,South Africa
Singapore,,South Africa
Taipei,Northern Taiwan,South Africa
Bangkok,Central Thailand,South Africa
Buenos Aires,Ciudad AutÃ³noma de,South Africa
Belize,,South Africa
Rio de Janeiro,,South Africa
Santiago,RegiÃ³n Metropolitana de,South Africa
Mexico City,Distrito Federal,South Africa
Barossa Valley,South Australia,Australia
"Barwon South West, Vic",Victoria,Australia
Melbourne,Victoria,Australia
Mid North Coast,New South Wales,Australia
Mornington Peninsula,Victoria,Australia
Northern Rivers,New South Wales,Australia
Sydney,New South Wales,Australia
Tasmania,,Australia
Western Australia,,Australia
Beijing,,Australia
Hong Kong,,Australia
Shanghai,,Australia
Tokyo,KantÅ,Australia
Singapore,,Australia
Taipei,Northern Taiwan,Australia
Bangkok,Central Thailand,Australia
Buenos Aires,Ciudad AutÃ³noma de,Australia
Belize,,Australia
Rio de Janeiro,,Australia
Santiago,RegiÃ³n Metropolitana de,Australia
Mexico City,Distrito Federal,Australia
Beijing,,China
Hong Kong,,China
Shanghai,,China
Tokyo,KantÅ,China
Singapore,,China
Taipei,Northern Taiwan,China
Bangkok,Central Thailand,China
Buenos Aires,Ciudad AutÃ³noma de,China
Belize,,China
Rio de Janeiro,,China
Santiago,RegiÃ³n Metropolitana de,China
Mexico City,Distrito Federal,China
Tokyo,KantÅ,Japan
Singapore,,Japan
Taipei,Northern Taiwan,Japan
Bangkok,Central Thailand,Japan
Buenos Aires,Ciudad AutÃ³noma de,Japan
Belize,,Japan
Rio de Janeiro,,Japan
Santiago,RegiÃ³n Metropolitana de,Japan
Mexico City,Distrito Federal,Japan
Singapore,,Singapore
Taipei,Northern Taiwan,Singapore
Bangkok,Central Thailand,Singapore
Buenos Aires,Ciudad AutÃ³noma de,Singapore
Belize,,Singapore
Rio de Janeiro,,Singapore
Santiago,RegiÃ³n Metropolitana de,Singapore
Mexico City,Distrito Federal,Singapore
Taipei,Northern Taiwan,Taiwan
Bangkok,Central Thailand,Taiwan
Buenos Aires,Ciudad AutÃ³noma de,Taiwan
Belize,,Taiwan
Rio de Janeiro,,Taiwan
Santiago,RegiÃ³n Metropolitana de,Taiwan
Mexico City,Distrito Federal,Taiwan
Bangkok,Central Thailand,Thailand
Buenos Aires,Ciudad AutÃ³noma de,Thailand
Belize,,Thailand
Rio de Janeiro,,Thailand
Santiago,RegiÃ³n Metropolitana de,Thailand
Mexico City,Distrito Federal,Thailand
Buenos Aires,Ciudad AutÃ³noma de,Argentina
Belize,,Argentina
Rio de Janeiro,,Argentina
Santiago,RegiÃ³n Metropolitana de,Argentina
Mexico City,Distrito Federal,Argentina
Belize,,Belize
Rio de Janeiro,,Belize
Santiago,RegiÃ³n Metropolitana de,Belize
Mexico City,Distrito Federal,Belize
Rio de Janeiro,,Brazil
Santiago,RegiÃ³n Metropolitana de,Brazil
Mexico City,Distrito Federal,Brazil
Santiago,RegiÃ³n Metropolitana de,Chile
Mexico City,Distrito Federal,Chile
Mexico City,Distrito Federal,Mexico
